标题链接,y,r_链接,r,zy2
"【文明巡礼】附中：承百载风华 建文明校园 
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129865.htm,5,附中依托百年交大深厚的人文底蕴和浓郁的学术氛围，高度重视精神文明建设，以党的十九大精神和习近平新时代中国特色社会主义思想为指导，在新时代西迁精神的引领下，以思想道德建设为重点，积极推行素质教育，大力营造安全文明和谐的育人环境，造就一支师...
"陕西金融资产管理股份有限公司董事长冷劲松一行来校洽谈合作
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129861.htm,5,3月4日下午，陕西金融资产管理股份有限公司董事长冷劲松、总经理孔兵一行到创新港考察调研并召开座谈会。座谈会前，西安交通大学党委书记卢建军会见冷劲松、孔兵。西安交通大学党委副书记赵昌昌出席座谈会。座谈会上，赵昌昌对陕西金融资产管理股份有限公...
"西安交大召开党委常委会会议 传达学习有关会议精神 研究学校贯彻落实意见 安排部署近期重点工作
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129843.htm,4,3月2日下午，西安交大召开党委常委会会议，传达学习习近平总书记在全国脱贫攻坚总结表彰大会、中央党校（国家行政学院）中青年干部培训班开班式上的重要讲话精神，传达学习2月26日中共中央政治局会议精神，传达学习《关于认真学习贯彻习近平总书记在党史学...
"西安交大参加教育部第八届高等学校科学研究优秀成果奖（人文社会科学）颁奖会
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129847.htm,4,​3月2日，教育部召开第八届高等学校科学研究优秀成果奖（人文社会科学）颁奖会，教育部党组书记、部长、部哲学社会科学工作领导小组组长陈宝生出席会议并讲话，部党组成员、副部长、部哲学社会科学工作领导小组副组长翁铁慧主持会议。西安交大在创新港设...
"【强军战歌嘹亮】我是仓库保管员：大山深处，超越平凡
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129825.htm,3,柴源，医学部、启德书院临床81班学生。2017年9月至2019年9月服役于中国人民解放军武汉联勤保障基地桂林联勤保障中心。服役期间，多次参加各类比武竞赛并取得优秀成绩，被表彰为优秀义务兵，获嘉奖一次。​被生活逼到无路可走，绝处逢生才是涅槃初入军营的...
"【西部网】全国政协委员李香菊：我国应提早布局研究数字经济征税问题
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129816.htm,3,“数字经济已经成为国际竞争的‘主战场’，未来肯定要引领产业变革。但我国现有税收制度都是在传统税制模式上制定的，已经不能适应数字经济发展的新要求。因此我建议国家应当紧跟国际税收发展新趋势，提早布局研究数字经济征税问题。” 全国两会前夕，住陕...
"【校友建功立业风采】黄旭华：潜心奉献终不悔
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129811.htm,3,​黄旭华，1949年毕业于交通大学造船系。中船重工第七一九研究所名誉所长，中国工程院院士。曾先后担任我国核潜艇工程第一代副总设计师、总设计师。主持了第一代核潜艇的研制，先后突破了核潜艇最关键、最重大的七项技术，是我国核潜艇研制工程的先驱者，...
"【中国妇女报】杨雪燕：注重女性人才培养，为美丽乡村建设注入“她力量”
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129784.htm,3,2021年2月21日，中央一号文件正式发布，勾勒出“十四五”时期乡村振兴和农业现代化发展的美丽图景。实现乡村振兴、建设美丽乡村为有志于投身现代化农业生产和农村建设的各类人才提供了施展才华、实现抱负的舞台。笔者认为，女性农业人才将在美丽乡村建设当...
"延安市市长薛占海一行率团来校洽谈深化合作
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129779.htm,3,3月1日下午，延安市市长薛占海一行到中国西部科技创新港考察调研、洽谈深化合作并召开校地合作对接座谈会。座谈会前，西安交通大学党委书记卢建军会见薛占海。西安交通大学党委常委、副校长荣命哲出席相关活动。座谈会上，荣命哲对薛占海一行表示欢迎。他...
"西安交大参加2021年教育系统全面从严治党工作视频会议
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129776.htm,3,​为深入学习贯彻习近平总书记在十九届中央纪委五次全会上的重要讲话和五次全会精神，3月1日，教育部召开2021年教育系统全面从严治党工作视频会，回顾总结过去一年教育系统全面从严治党工作，部署安排今年重点任务。教育部党组书记、部长陈宝生出席会议并...
"西安交通大学新增20个国家级一流本科专业建设点
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129773.htm,3,日前，教育部发布了《教育部办公厅关于公布2020年国家级和省级一流本科专业建设点名单的通知》（教高厅函〔2021〕7号），西安交大20个专业获批2020年度国家级一流本科专业建设点。至此，西安交大已有40个专业获批国家级一流本科专业建设点。学校高度重视本...
"安康市市长赵俊民一行率团来校洽谈深化合作
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129770.htm,3,3月1日上午，安康市市长赵俊民一行到中国西部科技创新港考察调研、洽谈深化合作并召开校地合作对接座谈会。座谈会前，西安交通大学党委书记卢建军会见赵俊民。西安交通大学党委常委、副校长荣命哲，安康市副市长寇全安，沣西新城党委书记、管委会主任刘宇...
"天冷心暖！交大学子返校日里的美丽景色
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129765.htm,2,静悄悄地，校园的花都开了，迎接好久不见的返校学子。报到的日子里气温骤降，阴雨绵绵，但返校的学生都说暖人心的不仅有校园里藏着的春色，还有各部门为学生返校和常态化疫情防控做的充分准备。学校的关心和返校学子对新学期的期待，是校园里一道道美丽的...
"【光明日报】燕连福 王亚丽：脱贫攻坚精神是伟大民族精神和时代精神的赓续传承
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129739.htm,2,消除贫困、改善民生、逐步实现共同富裕，是社会主义的本质要求，是中国共产党的重要使命。经过全党全国各族人民共同努力，在迎来中国共产党成立一百周年的重要时刻，我国脱贫攻坚战取得了全面胜利，创造了又一个彪炳史册的人间奇迹。中国的脱贫攻坚，不仅...
"省教育厅厅长刘建林一行来校督查新学期疫情防控工作
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129752.htm,2,​3月1日下午，省教育厅厅长刘建林、省教育厅宣传部部长梅争利、省教育厅办公室副主任于小亮等一行，来校调研习近平总书记来校考察重要讲话重要指示落实情况，检查春季开学准备工作及校园疫情防控情况，副校长郑庆华，党委常委、宣传部部长成进，校长助理...
"西安交大研究团队在原位透射电镜摩擦技术的研发及应用上取得突破
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129745.htm,2,利用透射电镜中的高强度磁场，西安交大材料学院单智伟研究团队发明了由洛伦兹力驱动的原位透射电镜摩擦技术并探究了亚微米尺度接触最大摩擦力的物理机理。透射电镜中的磁场强度高达2 T（为地表磁场的上万倍），通常被认为不利于材料的表征，尤其是磁性材料...
"【文明巡礼】档案馆、博物馆：传承西迁精神 涵养育人文化
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129748.htm,2,2020年4月22日，习近平总书记来到西安交通大学，走进交大西迁博物馆，亲切会见14位西迁老教授，并指出：西迁精神的核心是爱国主义，精髓是听党指挥跟党走，与党和国家、与民族和人民同呼吸、共命运，具有深刻现实意义和历史意义。档案馆、博物馆始终牢记习...
"【强军战歌嘹亮】我在西南边陲：听党指挥戍边关，守卫祖国新藏线
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129736.htm,2,杨雪念，原彭康书院、现仲英书院、电信学部计算机82班学生。2017年9月至2019年9月服役于武警某部交通第三支队。服役期间，扎根祖国西南边陲，战斗在新藏公路战略要道养护保通一线，应对泥石流、雪崩、塌方等各类自然灾害，为过往人员保驾护航，荣获嘉奖2次...
"交大校友热议创新港科创基地项目荣获鲁班奖
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129733.htm,1,2月23日，中国建筑业协会发布2020～2021年度第一批中国建设工程鲁班奖（国家优质工程）入选名单，由西咸新区交大科技创新港发展有限公司建设，陕西建工集团股份有限公司承建的西安交通大学科技创新港科创基地项目荣获“2020～2021年度第一批中国建设工程鲁...
"新学期 新期待 为努力的你点赞！
                    
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129730.htm,1,3月1日开学第一天，交大学子们回到了熟悉校园，开启了丰富多彩的校园生活。课堂上，认真听讲，在新学期里有了新规划；图书馆里，同学们徜徉在知识的海洋，对新旅途里有了新目标；学校餐厅里，同学们更是吃上了心心念念的饭菜。学子们畅想着未来，讨论着梦...
"卢建军调研物理学院
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129727.htm,1, 2月27日，校党委书记卢建军到物理学院调研，围绕基础学科建设、学科交叉、科研成果转化等工作中存在的问题，与学院领导班子和骨干教师研讨交流。在详细了解学院发展情况后，卢建军对物理学院近年来的发展成绩给予充分肯定。他表示，交通大学物理学底蕴深...
"【三秦都市报】西安交大联合研究成果在《自然》发表
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129720.htm,1,近日，西安交通大学生命科学与技术学院张虎勤教授带领的生物信息人类学团队，与厦门大学王传超教授及哈佛医学院David Reich教授展开深度合作，联合全球43家单位，85名共同作者于2月22日在《自然》（Nature）期刊在线发表文章《基因组学解析东亚人群形成历...
"西安交大全力保障新学期教学秩序
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129717.htm,1,2021年2月的最后两天恰值周末，是西安交大学生新学期报到注册的日子。根据国家统一部署和教育厅有关要求，学校认真研究制定了开学方案，在统筹做好疫情防控工作的基础上，组织学生有序返校，实现正常、安全、错峰开学。保证正常教育教学，是全面恢复正常教...
"卢建军调研指导仲英书院党建工作
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129706.htm,1,​2月28日下午，校党委书记卢建军调研仲英书院，参观了仲英文化长廊、学业辅导中心、党员之家、院史馆、品阁咖啡厅等场所，并就辅导员队伍建设、学生心理辅导等与书院师生交流讨论。他强调，要重视学校基层党组织的建设，不断提升党组织的创造力、凝聚力和...
"【科技日报】西安交大研究成果入选2020年度中国科学十大进展 破解国际难题
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129696.htm,1,2月27日，科学技术部高技术研究发展中心（基础研究管理中心）发布了2020年度中国科学十大进展。我国科学家积极应对新冠肺炎疫情取得突出进展等10项重大科学进展入选。2020年度中国科学十大进展终选采取网上投票方式，邀请中国科学院院士、中国工程院院士、...
"【西安日报】陈晨：从学习党史中感悟初心使命
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129693.htm,1,习近平总书记指出，历史是最好的教科书。对中国共产党人来说，中国革命历史是最好的营养剂。历史是一面镜子，它能真实映照共产党人的初心和使命。回望过往的奋斗路，眺望前方的奋进路，在全党集中开展党史学习教育，正当其时，十分必要。我们必须把党的历...
"齐上阵 总动员 为学子安全返校护航
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129690.htm,1,春到人间草木知，西安交大校园内杨柳依依、梅花浅笑，迎接着2021年春季学期返校的学子们。根据教育部、陕西省及西安市疫情防控要求，学校按照“分期分批、有序返校”的原则，安排国（境）内学生2月27日—28日返校注册。学校各部门齐上阵，安全隐患想在前，...
"交大教师热议创新港科创基地项目荣获鲁班奖
                            ",21-Feb,http://news.xjtu.edu.cn/info/1033/129680.htm,28,2月23日，中国建筑业协会发布2020～2021年度第一批中国建设工程鲁班奖（国家优质工程）入选名单，由西咸新区交大科技创新港发展有限公司建设，陕西建工集团股份有限公司承建的西安交通大学科技创新港科创基地项目荣获“2020～2021年度第一批中国建设工程鲁...
"严鉴铂率法士特集团、秦川集团高层来校调研
                            ",21-Feb,http://news.xjtu.edu.cn/info/1033/129667.htm,28,2月26日上午，法士特集团党委书记、董事长，秦川集团党委书记、董事长严鉴铂带队来校调研并座谈，校党委书记卢建军会见严鉴铂一行。法士特集团党委副书记、总经理马旭耀，秦川集团党委副书记、总裁李强等集团主要负责人，西安交大党委副书记赵昌昌，副校长...
"【文明巡礼】西安交通大学：绘就文明底色 传扬西迁精神
                            ",21-Feb,http://news.xjtu.edu.cn/info/1033/129663.htm,28,​2020年11月20日召开的全国精神文明建设表彰大会上，西安交通大学荣获“全国文明校园”荣誉称号。如今在西安交大校园里，“绘就文明底色，传扬西迁精神”已经成为广大师生拼搏奋发、立志报国及校园文明建设的主题。在交大西迁博物馆里，厚厚的留言簿上留...
