标题链接,y,r_链接,r,zy2
"【聚焦双代会 奔跑2021】学校召开教代会代表团团长扩大会 安排部署相关工作
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130285.htm,16,3月15日下午，学校召开第十届教代会代表团长扩大会议，安排部署第十届教代会暨第十五届工代会六次会议工作。校党委副书记赵昌昌，校工会主席朱正威，教代会各代表团团长、全校基层工会主席参加会议。会议由校党委常委张定红主持。朱正威通报了本次会议的筹...
"【脱贫攻坚 交大足迹】青春力量 扶贫路上的社会实践团队（一）
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130274.htm,16,青春由磨砺而出彩，人生因奋斗而升华。在脱贫攻坚战场上，活跃着这样一批交大学子，他们围绕脱贫攻坚、乡村振兴等开展社会调研，深入基层一线，体悟扶贫内涵，在实践中传承西迁精神，在扶贫路上贡献青春力量
"卢建军调研校医院、“6352”孵化器建设
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130271.htm,16,3月15日，校党委书记卢建军到创新港调研校医院门诊部、“6352”孵化器时强调，各级各部门要齐心协力，协同发展，探索建立破解产学研融合与科技成果转化的制度设计与工作举措，加速“6352”工程走深走实。卢建军依次走访了校医院创新港门诊部各科室，并对科...
"【校友建功立业风采】王华明：永远瞄准国家重大需求和科技发展方向
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130262.htm,16,王华明，1986年毕业于西安交通大学铸造专业，取得工学硕士学位。现任北京航空航天大学材料科学与工程学院教授、中国工程院院士，大型金属构件增材制造国家工程实验室和国防科技工业激光增材制造研究应用中心主任。获国家技术发明一等奖、国防科技工业杰出...
"【聚焦两会】交大校友两会代表、委员积极发声 为国家发展建言献策
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130250.htm,16,2021年3月，十三届全国人大四次会议和全国政协十三届四次会议在北京召开，多位西安交通大学校友作为人大代表、政协委员参会。两会期间，他们积极发声，为国家发展贡献智慧和力量。现将媒体刊发的部分代表观点摘录如下（按姓氏笔画排序）：人大代表的“两会...
"西安交大物理试验班毕业生以第一作者身份在《自然》发表科研成果
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130245.htm,16,在非平衡态物质体系的研究中，有关活性物质自组织的研究快速发展。不同于平衡态物质体系，活性物质有局部的能量输入，包括从单细胞到动物的所有生命体，由分子马达驱动的生物分子，以及人工合成的自驱动物质。近日，由香港中文大学、加州大学和哈佛大学的...
"【脱贫攻坚 交大足迹】王申玮：笃定前行 我的扶贫故事
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130217.htm,15,2019年8月1日，当清晨的第一缕阳光映向眼前的山坡，我还在寻找身处磨沟村的真实感。来磨沟村几天前的一次简短谈话，让我毅然决定接受组织安排，到贫困地区扶贫攻坚，去乡村基层磨练自己、丰富自己。也许村干部和百姓们第一眼看到这张略显稚嫩的脸庞都会心...
"西安交通大学2021年硕士研究生招生复试基本分数线公布
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130214.htm,15,西安交通大学2021年硕士研究生招生复试基本分数线相关说明：1.学校复试基本分数线为相应学科门类（学科）/专业学位的最低分数线，单科、总分须同时满足要求。各招生学院（部、中心）可根据其招生计划和生源等情况，按一定的差额复试比例上浮复试分数线并确...
"强强联合 “6352”工程建设进行时（二）
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130188.htm,15,为深入学习贯彻习近平总书记来陕考察重要讲话精神，落实“围绕产业链部署创新链、围绕创新链布局产业链”要求，西安交大推进“6352”工程，聚力将创新港打造成为陕西最大的孵化器和科技成果转化“特区”。“6352”工程，即“政产学研用金”6进创新港，建设...
"西安交通大学联合研究成果在PNAS发表
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130203.htm,15,近日，西安交通大学常超教授团队与复旦大学舒友生课题组、上海理工大学宋波课题组、中国科学技术大学温泉课题组、中科院化学所毛兰群课题组合作在神经调控机制研究方面取得重大突破。该研究发现中红外光刺激（Midinfrared Stimulation，MIRS）能够作为一种...
"【文明巡礼】“2020年精神文明建设先进单位”附小：加强校园文化建设 创建文明和谐校园 
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130206.htm,15,"近年来，附小全体师生齐心协力，发扬交大人“勤奋求实、严谨治学”的光荣传统,为全体学生的全面发展服务，坚持“文化引领、师生共同发展，构建生态校园”的办学理念，携手共建和谐共进的生态化校园环境。深化认识，摆正精神文明建设工作在学校全局中的位置..."
"陕西省国资委调研组到创新港推动科技成果转化工作
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130167.htm,12,3月11日下午，陕西省国资委党委书记刘斌、主任王海鹏率队到中国西部科技创新港调研座谈，校党委书记卢建军，校党委常委、副校长王铁军出席座谈会，双方围绕推动学校和省属国企建立以企业为主体、市场为导向的产学研深度融合的科技创新合作模式进行了深入交...
"【聚焦两会】社会媒体关注王树国代表、李香菊委员两会发声（二）
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130164.htm,12,3月10日-11日，全国政协十三届四次会议和十三届全国人大四次会议相继在北京人民大会堂闭幕。会议期间，全国人大代表、西安交大校长王树国，全国政协委员、西安交大经金学院教授李香菊建言发声受到新华社、中央广播电视总台、人民日报、光明日报、中国教育...
